,App,Category,Rating,Reviews,Size,Installs,Price,Content.Rating,Current.Ver
1,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19,10000,0,Everyone,1.0.0
2,Coloring book moana,ART_AND_DESIGN,3.9,967,14,500000,0,Everyone,2.0.0
3,"U Launcher Lite ??FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8.7,5000000,0,Everyone,1.2.4
4,Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25,50000000,0,Teen,Varies with device
5,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2.8,100000,0,Everyone,1.1
6,Paper flowers instructions,ART_AND_DESIGN,4.4,167,5.6,50000,0,Everyone,1
7,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19,50000,0,Everyone,1.1
8,Infinite Painter,ART_AND_DESIGN,4.1,36815,29,1000000,0,Everyone,6.1.61.1
9,Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33,1000000,0,Everyone,2.9.2
10,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3.1,10000,0,Everyone,2.8
11,Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28,1000000,0,Everyone,1.0.4
12,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12,1000000,0,Everyone,1.0.15
13,Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20,10000000,0,Teen,3.8
14,Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21,100000,0,Everyone,1.0.4
15,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37,100000,0,Everyone,1.2.3
16,Learn To Draw Kawaii Characters,ART_AND_DESIGN,3.2,55,2.7,5000,0,Everyone,NaN
17,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5.5,500000,0,Everyone,3.1
18,350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17,10000,0,Everyone,1
19,FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39,5000000,0,Everyone,2.2.5
20,ibis Paint X,ART_AND_DESIGN,4.6,224399,31,10000000,0,Everyone,5.5.4
21,Logo Maker - Small Business,ART_AND_DESIGN,4,450,14,100000,0,Everyone,4
22,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12,100000,0,Everyone,1.1
23,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4.2,500000,0,Everyone 10+,2.2.6.2
24,Mcqueen Coloring pages,ART_AND_DESIGN,0,61,7,100000,0,Everyone,1.0.0
25,HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118,23,50000,0,Everyone,1.1.3
26,Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6,10000,0,Everyone,1.5
27,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25,500000,0,Everyone,1.0.8
28,Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1,100000,0,Everyone,1.03
29,Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4.6,10000,0,Everyone,6
30,Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4.2,100000,0,Everyone,1
31,Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9.2,100000,0,Everyone,6.7.12.2018
32,Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5.2,50000,0,Everyone,1.2
33,Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11,100000,0,Everyone,2.2
34,Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11,100000,0,Everyone,1.1.0
35,I Creative Idea,ART_AND_DESIGN,4.7,353,4.2,10000,0,Teen,1.6
36,How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9.2,100000,0,Everyone,2.1
37,UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24,500000,0,Everyone,1.0.9
39,PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11,10000,0,Everyone,1.3
40,How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4,591,9.4,500000,0,Everyone,1
41,Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15,10000,0,Everyone,2.0.1
42,Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10,100000,0,Everyone,1
44,Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2,100000,0,Everyone,1.46
45,Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12,10000,0,Everyone,1.0.0
46,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24,10000000,0,Everyone,1.6.1
47,Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26,100000,0,Everyone,1.6
48,Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8,100000,0,Everyone,2.0.0
49,How To Draw Food,ART_AND_DESIGN,4.3,845,7.9,100000,0,Everyone,1
50,Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25,100000,0,Everyone,1
51,Real Tractor Farming,AUTO_AND_VEHICLES,4,1598,56,1000000,0,Everyone,11
52,Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57,100000,0,Everyone,3
54,American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35,100000,0,Everyone,3
55,Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33,100000,0,Everyone,4
56,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33,100000,0,Everyone,1.7.1
57,Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6,50000,0,Everyone,2.5.1
58,Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54,100000,0,Everyone,3
59,Restart Navigator,AUTO_AND_VEHICLES,4,1403,0.201,100000,0,Everyone,1.0.1
60,"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6,100000,0,Everyone,2.493
61,CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7,10000,0,Everyone,1.9.1
62,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17,100000,0,Everyone,1.7
